Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1786120207003,$undefined,$undefined,,,,"<b>Peru</b> Squad: Suresh Kumar(c), Roshan De silva(w), Hafez Mohammed Farooq, Ramses Cespedes, Nikhil Deshmukh, Richard Chatterton, Joel Ultimo, Ross Hardie, Rohan Punjabi, Harshil Brahmbhatt, Pravin Hemant Shamdasani, Joaquin Salazar"
1786120231002,$undefined,$undefined,,,,"<b>Mexico</b> Squad: Devon Ebersohn(w), Pratik Singh Bais(c), Gutierrez Chavez, Yashvanth Jasti, Dhananjaya Panda, Jayanth Byrappa, Bhargav Narasimha, Matt Noble, Sai Tallapragada, Waseem Tabrez, Mohit Sharma"
1786120235662,$undefined,$undefined,,,,<b>Squads:</b>
1786234190869,$undefined,$undefined,,,,<b>Mexico have won the toss and have opted to bat</b>
1786234522991,$undefined,$undefined,,,,"<b>Mexico</b> (Playing XI): Jayanth Byrappa, Shashikant Laxman Hirugade, Dhananjaya Panda, Gutierrez Chavez, Yashvanth Jasti, Waseem Tabrez, Bhargav Narasimha, Pratik Singh Bais(c), Mohit Sharma, Matt Noble, Devon Ebersohn(w)"
1786234544925,$undefined,$undefined,,,,"<b>Peru</b> (Playing XI): Harshil Brahmbhatt, Nikhil Deshmukh, Pravin Hemant Shamdasani, Joel Ultimo, Joaquin Salazar, Suresh Kumar(c), Rohan Punjabi, Roshan De silva(w), Ramses Cespedes, Richard Chatterton, Ross Hardie"
1786234546420,$undefined,$undefined,,,,<b>Teams:</b>
1786235102489,$undefined,1,MEX,Dhananjaya Panda,Nikhil Deshmukh,<b>Nikhil Deshmukh [2.0-0-12-0] is back into the attack</b>
1786235104651,15.1,1,MEX,Dhananjaya Panda,Nikhil Deshmukh,"Nikhil Deshmukh to Dhananjaya Panda, 2 runs"
1786235106907,15.2,1,MEX,Dhananjaya Panda,Nikhil Deshmukh,"Nikhil Deshmukh to Dhananjaya Panda, 1 run"
1786235107792,$undefined,1,MEX,Shashikant Laxman,Nikhil Deshmukh,"Nikhil Deshmukh to Shashikant Laxman, <b>THATS OUT!!</b> Bowled!!"
1786235108656,15.3,1,MEX,Shashikant Laxman Hirugade,Nikhil Deshmukh,"Nikhil Deshmukh to Shashikant Laxman, <b>out</b> Bowled!! <b>Shashikant Laxman b Nikhil Deshmukh 53(39) [4s-5 6s-2]</b>"
1786235111447,$undefined,1,MEX,Gutierrez Chavez,Nikhil Deshmukh,"<b>Gutierrez Chavez, right handed bat, comes to the crease</b>"
1786235114413,15.4,1,MEX,Gutierrez Chavez,Nikhil Deshmukh,"Nikhil Deshmukh to Gutierrez Chavez, leg byes, 2 runs"
1786235116793,15.5,1,MEX,Gutierrez Chavez,Nikhil Deshmukh,"Nikhil Deshmukh to Gutierrez Chavez, 2 runs"
1786235119848,15.6,1,MEX,Gutierrez Chavez,Nikhil Deshmukh,"Nikhil Deshmukh to Gutierrez Chavez, 1 run"
1786235124700,16.1,1,MEX,Gutierrez Chavez,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Gutierrez Chavez, no run"
1786235126827,16.2,1,MEX,Gutierrez Chavez,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Gutierrez Chavez, 1 run"
1786235131799,$undefined,1,MEX,Dhananjaya Panda,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Dhananjaya Panda, <b>THATS OUT!!</b> Caught!!"
1786235132883,16.3,1,MEX,Dhananjaya Panda,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Dhananjaya Panda, <b>out</b> Caught by Nikhil Deshmukh!! <b>Dhananjaya Panda c Nikhil Deshmukh b Pravin Hemant Shamdasani 12(7) [4s-2]</b>"
1786235134975,$undefined,1,MEX,Yashvanth Jasti,Pravin Hemant Shamdasani,"<b>Yashvanth Jasti, left handed bat, comes to the crease</b>"
1786235137939,16.4,1,MEX,Yashvanth Jasti,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Yashvanth Jasti, <b>2 wides</b>"
1786235139915,16.4,1,MEX,Gutierrez Chavez,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Gutierrez Chavez, no run"
1786235143176,16.5,1,MEX,Gutierrez Chavez,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Gutierrez Chavez, leg byes, 1 run"
1786235145770,16.6,1,MEX,Yashvanth Jasti,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Yashvanth Jasti, <b>2 wides</b>"
1786235149939,$undefined,1,MEX,Gutierrez Chavez,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Gutierrez Chavez, <b>THATS OUT!!</b> Caught!!"
1786235151133,16.6,1,MEX,Gutierrez Chavez,Pravin Hemant Shamdasani,"Pravin Hemant Shamdasani to Gutierrez Chavez, <b>out</b> Caught by Roshan De silva!! <b>Gutierrez Chavez c Roshan De silva b Pravin Hemant Shamdasani 4(8)</b>"
1786235678668,$undefined,2,PER,Pravin Hemant Shamdasani,Matt Noble,"<b>Matt Noble, comes into the attack</b>"
1786235682333,8.1,2,PER,Pravin Hemant Shamdasani,Matt Noble,"Matt Noble to Pravin Hemant Shamdasani, 1 run"
1786235684192,8.2,2,PER,Joaquin Salazar,Matt Noble,"Matt Noble to Joaquin Salazar, no run"
1786235686571,8.3,2,PER,Joaquin Salazar,Matt Noble,"Matt Noble to Joaquin Salazar, no run"
1786235689020,8.4,2,PER,Joaquin Salazar,Matt Noble,"Matt Noble to Joaquin Salazar, <b>wide</b>"
1786235691587,8.4,2,PER,Joaquin Salazar,Matt Noble,"Matt Noble to Joaquin Salazar, <b>FOUR</b>"
1786235694305,8.5,2,PER,Joaquin Salazar,Matt Noble,"Matt Noble to Joaquin Salazar, 1 run"
