Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1789578964918,$undefined,$undefined,,,,"<b>Sri Lanka</b> Squad: Pathum Nissanka, Kamil Mishara(w), Lahiru Udara, Charith Asalanka(c), Dasun Shanaka, Kamindu Mendis, Wanindu Hasaranga, Dunith Wellalage, Maheesh Theekshana, Dushmantha Chameera, Eshan Malinga, Janith Liyanage, Dilshan Madushanka, Pavan Rathnayake, Nuwan Thushara, Tharindu Ratnayake"
1789579012225,$undefined,$undefined,,,,"<b>England</b> Squad: Aneurin Donald, Jos Buttler(w), Harry Brook(c), Tom Banton, Jordan Cox, Will Jacks, Jamie Overton, Liam Dawson, Josh Tongue, Sonny Baker, Adil Rashid, Ben Duckett, Saqib Mahmood, Jofra Archer, Gus Atkinson, James Coles"
1789579013508,$undefined,$undefined,,,,<b>Squads:</b>
1789663057145,$undefined,$undefined,,,,"<b>17:30 Local Time, 16:30 GMT, 22:00 IST:</b> Sri Lanka were hammered by the hosts in the first game. England led by Brook's blitzkrieg notched up more than 250 and defended it with aplomb. Sri Lanka never were really in the game. Buttler took it away initially and Brook batted them out of the game. Cardiff should again favour the batters as there will be nice bounce on offer. Sri Lanka will certainly look to bounce back! We have bounced in as well. Hello and welcome to another game of T20 and its madness."
1789664529379,$undefined,$undefined,,,,<b>England have won the toss and have opted to field</b>
1789664929553,$undefined,$undefined,,,,"<b>England</b> (Playing XI): Aneurin Donald, Jos Buttler(w), Harry Brook(c), Tom Banton, Jordan Cox, Will Jacks, Jamie Overton, Jofra Archer, Liam Dawson, Sonny Baker, Adil Rashid"
1789665060584,$undefined,$undefined,,,,"<b>Sri Lanka</b> (Playing XI): Pathum Nissanka, Kamil Mishara(w), Lahiru Udara, Charith Asalanka(c), Dasun Shanaka, Kamindu Mendis, Wanindu Hasaranga, Dunith Wellalage, Maheesh Theekshana, Dushmantha Chameera, Eshan Malinga"
1789665062798,$undefined,$undefined,,,,<b>Teams:</b>
1789665061691,$undefined,$undefined,,,,"<b>Sri Lanka</b> (Playing XI): Pathum Nissanka, Kamil Mishara(w), Lahiru Udara, Charith Asalanka(c), Dasun Shanaka, Kamindu Mendis, Wanindu Hasaranga, Tharindu Ratnayake, Dushmantha Chameera, Eshan Malinga, Dilshan Madushanka"
1789666098051,$undefined,$undefined,,,,The England players march in. So do the openers from Lanka.
1789666218216,$undefined,1,SL,,,<b>Pathum Nissanka and Lahiru Udara are at the crease. Pathum Nissanka is on strike. Sonny Baker will open the attack</b>
1789666248447,0.1,1,SL,Pathum Nissanka,Sonny Baker,"Sonny Baker to Pathum Nissanka, 2 runs, angles in a length delivery and the batter tucks it wide of mid-wicket for a couple of runs"
1789666257472,0.2,1,SL,Pathum Nissanka,Sonny Baker,"Sonny Baker to Pathum Nissanka, 1 run, 138 clicks, bends in, outside off, Pathum Nissanka"
1789666296886,0.3,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, no run"
1789666338991,0.4,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, no run, checks a stab"
1789666376519,0.5,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, no run"
1789666406794,0.6,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, no run"
1789666452924,$undefined,1,SL,Pathum Nissanka,Jofra Archer,"<b>Jofra Archer, right-arm fast, comes into the attack</b>"
1789666474115,1.1,1,SL,Pathum Nissanka,Jofra Archer,"Jofra Archer to Pathum Nissanka, no run"
1789666508724,1.2,1,SL,Pathum Nissanka,Jofra Archer,"Jofra Archer to Pathum Nissanka, <b>FOUR</b>, gloved, mistimed"
1789666542445,1.3,1,SL,Pathum Nissanka,Jofra Archer,"Jofra Archer to Pathum Nissanka, <b>FOUR</b>, backs away, charges down to that"
1789666585726,1.4,1,SL,Pathum Nissanka,Jofra Archer,"Jofra Archer to Pathum Nissanka, 1 run, to point"
1789666630907,1.5,1,SL,Lahiru Udara,Jofra Archer,"Jofra Archer to Lahiru Udara, 1 run, to third man"
1789666660723,1.6,1,SL,Pathum Nissanka,Jofra Archer,"Jofra Archer to Pathum Nissanka, <b>FOUR</b>, to fine leg"
1789666709758,2.1,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, no run"
1789666750976,2.2,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, no run"
1789666787617,2.3,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, leg byes, <b>FOUR</b>, to fine leg"
1789666830430,2.4,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, no run, short of length delivery, angled in, Lahiru Udara backs away to slap it and misses. The ball climbed on to the batter a little"
1789666865926,2.5,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, <b>FOUR</b>, to fine leg"
1789666910885,2.6,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, <b>FOUR</b>, to deep backward point"
1789666975147,3.1,1,SL,Pathum Nissanka,Jofra Archer,"Jofra Archer to Pathum Nissanka, 1 run, stabs a length delivery down into the off-side and scampers off for a single"
1789667008802,3.2,1,SL,Lahiru Udara,Jofra Archer,"Jofra Archer to Lahiru Udara, no run"
1789667042791,3.3,1,SL,Lahiru Udara,Jofra Archer,"Jofra Archer to Lahiru Udara, no run, short ball, angled in"
