Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1789578964918,$undefined,$undefined,,,,"<b>Sri Lanka</b> Squad: Pathum Nissanka, Kamil Mishara(w), Lahiru Udara, Charith Asalanka(c), Dasun Shanaka, Kamindu Mendis, Wanindu Hasaranga, Dunith Wellalage, Maheesh Theekshana, Dushmantha Chameera, Eshan Malinga, Janith Liyanage, Dilshan Madushanka, Pavan Rathnayake, Nuwan Thushara, Tharindu Ratnayake"
1789579012225,$undefined,$undefined,,,,"<b>England</b> Squad: Aneurin Donald, Jos Buttler(w), Harry Brook(c), Tom Banton, Jordan Cox, Will Jacks, Jamie Overton, Liam Dawson, Josh Tongue, Sonny Baker, Adil Rashid, Ben Duckett, Saqib Mahmood, Jofra Archer, Gus Atkinson, James Coles"
1789579013508,$undefined,$undefined,,,,<b>Squads:</b>
1789663057145,$undefined,$undefined,,,,"<b>17:30 Local Time, 16:30 GMT, 22:00 IST:</b> Sri Lanka were hammered by the hosts in the first game. England led by Brook's blitzkrieg notched up more than 250 and defended it with aplomb. Sri Lanka never were really in the game. Buttler took it away initially and Brook batted them out of the game. Cardiff should again favour the batters as there will be nice bounce on offer. Sri Lanka will certainly look to bounce back! We have bounced in as well. Hello and welcome to another game of T20 and its madness."
1789664529379,$undefined,$undefined,,,,<b>England have won the toss and have opted to field</b>
1789664929553,$undefined,$undefined,,,,"<b>England</b> (Playing XI): Aneurin Donald, Jos Buttler(w), Harry Brook(c), Tom Banton, Jordan Cox, Will Jacks, Jamie Overton, Jofra Archer, Liam Dawson, Sonny Baker, Adil Rashid"
1789665060584,$undefined,$undefined,,,,"<b>Sri Lanka</b> (Playing XI): Pathum Nissanka, Kamil Mishara(w), Lahiru Udara, Charith Asalanka(c), Dasun Shanaka, Kamindu Mendis, Wanindu Hasaranga, Dunith Wellalage, Maheesh Theekshana, Dushmantha Chameera, Eshan Malinga"
1789665062798,$undefined,$undefined,,,,<b>Teams:</b>
1789665061691,$undefined,$undefined,,,,"<b>Sri Lanka</b> (Playing XI): Pathum Nissanka, Kamil Mishara(w), Lahiru Udara, Charith Asalanka(c), Dasun Shanaka, Kamindu Mendis, Wanindu Hasaranga, Tharindu Ratnayake, Dushmantha Chameera, Eshan Malinga, Dilshan Madushanka"
1789666098051,$undefined,$undefined,,,,The England players march in. So do the openers from Lanka.
1789666218216,$undefined,1,SL,,,<b>Pathum Nissanka and Lahiru Udara are at the crease. Pathum Nissanka is on strike. Sonny Baker will open the attack</b>
1789666248447,0.1,1,SL,Pathum Nissanka,Sonny Baker,"Sonny Baker to Pathum Nissanka, 2 runs, angles in a length delivery and the batter tucks it wide of mid-wicket for a couple of runs"
1789666257472,0.2,1,SL,Pathum Nissanka,Sonny Baker,"Sonny Baker to Pathum Nissanka, 1 run, 138 clicks, bends in, outside off, Pathum Nissanka"
1789666296886,0.3,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, no run"
1789666338991,0.4,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, no run, checks a stab"
1789666376519,0.5,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, no run"
1789666406794,0.6,1,SL,Lahiru Udara,Sonny Baker,"Sonny Baker to Lahiru Udara, no run"
1789666452924,$undefined,1,SL,Pathum Nissanka,Jofra Archer,"<b>Jofra Archer, right-arm fast, comes into the attack</b>"
1789666474115,1.1,1,SL,Pathum Nissanka,Jofra Archer,"Jofra Archer to Pathum Nissanka, no run"
1789666508724,1.2,1,SL,Pathum Nissanka,Jofra Archer,"Jofra Archer to Pathum Nissanka, <b>FOUR</b>, gloved, mistimed"
