Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1787485812600,83.1,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, short of a good length and a hint of shape back into the rght-hander - Jurel has it covered as he defended"
1787485849717,83.2,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, fuller length delivery outside off - Jurel gets a good stride forward and toe-ends it to cover"
1787485888148,83.3,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, <b>beaten</b>, short of a good length and just outside off, too close to cut and there's some extra bounce as well - Jurel looks to cut and misses"
1787485927631,83.4,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, on a good length and shaping back into the right-hander - Jurel covers the line, lifts his bat and lets it go. Swung late and Niroshan Dickwella has to dive to make the stop"
1787485973176,83.5,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, fuller length delivery outside off, creamed to the right of cover where Dinusha puts in an acrobatic dive and saves four runs for his team"
1787486011919,83.6,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, on a good length and holding its line outside off, left alone"
1787486099732,$undefined,1,IND,Ravindra Jadeja,Asitha Fernando,"Asitha Fernando to Ravindra Jadeja, <b>THATS OUT!!</b> Bowled!!"
1787486100897,84.1,1,IND,Ravindra Jadeja,Asitha Fernando,"Asitha Fernando to Ravindra Jadeja, <b>out</b> Bowled!! That's a bad leave and RJ has lost his off-stump. The round the wicket angle has worked its charm for Asitha Fernando, but he did deserve this wicket. His third wicket and Sri Lanka have struck with the second new ball - on a good length and kept coming back into the right-hander, RJ thought he has covered is stumps as he shouldered arms, but the ball goes on and clatters into the top of off-stump. Asitha is chuffed to bits as India lose half their side. <b>Ravindra Jadeja b Asitha Fernando 43(83) [4s-4]</b>"
1787486164613,$undefined,1,IND,Saransh Jain,Asitha Fernando,"<b>Saransh Jain, left handed bat, comes to the crease</b>"
1787486267397,84.2,1,IND,Saransh Jain,Asitha Fernando,"Asitha Fernando to Saransh Jain, no run, a good first nut for the debutant - goes for the yorker, it's a low full-toss and Saransh digs it out"
1787486316728,84.3,1,IND,Saransh Jain,Asitha Fernando,"Asitha Fernando to Saransh Jain, <b>FOUR</b>, first Test runs for Saransh Jain <b>and he'll feel relieved</b> - width on offer and he chops it late, gets on top of the bounce and runs it behind point, races away to the ropes and brings up <b>India's 300</b>"
1787486363725,84.4,1,IND,Saransh Jain,Asitha Fernando,"Asitha Fernando to Saransh Jain, no run, short and angling down leg, Saransh gets inside the line and watches it go"
1787486404896,84.5,1,IND,Saransh Jain,Asitha Fernando,"Asitha Fernando to Saransh Jain, no run, fuller length delivery outside off - Saransh presses well forward as he defended"
1787486431672,$undefined,1,IND,,,It's 5:30 pm and this should be the last ball of the day
1787486454654,84.6,1,IND,Saransh Jain,Asitha Fernando,"Asitha Fernando to Saransh Jain, no run, short of a good length and around the off-stump line, Saransh hops across, drops his bottom-hand and drps the ball at his feet"
1787486491959,$undefined,1,IND,,,$28
1787486491969,$undefined,1,IND,,,<b>India's close of play scores on day 1 in Sri Lanka - last six Tests (Min 50 overs bowled) </b><br>319/6 Colombo PSS 2015 (Won) <br>399/3 Galle 2017 (Won)    <br>344/3 Colombo SSC 2017 (Won)    <br>329/6 Pallekele 2017 (Won)   <br>288/2 Galle 2026 (Won)   <br>300/5 Colombo SSC 2026
1787486491979,$undefined,1,IND,,,<b>--</b> Spinners have had a drop in 15.5% in terms of average turn today compared to day 1 of the 1st Test at Galle; less than one in four of the balls (24.2%) turned more than 4.5 degrees while the lowest in any of the day's play at Galle was 34.1% on the second day's play.
1787486491989,$undefined,1,IND,,,<b>Asitha Fernando by lengths today </b><br>Full (<6m): 0/21 off 29 balls (FS% 6.9)<br>Good (6-8m): 3/6 off 36 balls (FS% 13.9) <br>Short: 0/19 off 31 balls (FS% 12.9)
1787486491999,$undefined,1,IND,,,Sri Lankan seamers bowled noticeably fuller with the second new ball compared to any of the previous 10-over blocks but only two of the 24 balls in the spell was projected to hit the stumps of which one claimed the wicket of Ravindra Jadeja.
1787543959078,$undefined,1,IND,,,"<b>09:30 Local Time, 04:00 GMT, 09:30 IST:</b> It was an evenly poised opening day in the Colombo Test, with India reaching 300 runs while Sri Lanka reduced them to five wickets by Stumps. Devdutt Padikkal continued his excellent run, bringing up his second century of the series, while Yashasvi Jaiswal, Shubman Gill and Ravindra Jadeja also made valuable contributions. For Sri Lanka, Asitha Fernando was the standout bowler, claiming three crucial wickets and leading the attack effectively. However, his heated exchange with Jaiswal was an unfortunate moment and took some shine off an otherwise competitive day."
1787544018487,$undefined,1,IND,,,"The pitch offered some assistance to the pacers, but considering the history of this venue, batting conditions could improve on Day 2. Sri Lanka will be hoping to make the most of it and build a substantial total when their turn comes. For now, the big question is how many more runs India can add to their overnight score. Can they push past the 400-run mark? Day 2 should provide the answer."
1787544222941,$undefined,1,IND,,,"<b>Pitch report [Russel Arnold]:</b> The pitch, it's still a batting day, I would think. India in a very good position. And when I look at this, there's not much that I can report about. But of course, wear and tear will kick in. Now what's different in this pitch from the Galle pitch? Initially, comparing the first day's play, there's more bounce here on offer than in Galle. Now that's considerable, even if you say four centimeters. Now we look at where the bowlers bowled yesterday. They have used very different lengths. The effective length has been the good length. If you look at the point the fast bowlers have bowled, all four wickets are there, but it's been effective because they've used the shorter one and the extra bounce. So that means this pitch is quickening up, and hence when the wear and tear comes in, it will be tougher to bat. So Sri Lanka need to somehow get the wickets early. If not, they will not get a lease of a good pitch on offer to score runs."
1787544447866,$undefined,1,IND,,,"<b>Rishabh Pant</b>, who picked up an injury yesterday evening, is available to bat and, in fact, never left the ground. Harsha Bhogle confirmed on air that Pant was ready to bat even last evening."
1787544222951,$undefined,1,IND,,,"<b>Saransh Jain</b> - (on getting the debut cap) I had mixed emotions. When I received the cap, I was happy and excited, resulting in mixed feelings. When I started playing cricket, of course, every player’s dream is to represent India. Mine was the same - I wanted to play for India. And even if I hadn’t received the cap yesterday, I definitely believed that I would represent India in the next one or two years. (on his preference for red-ball cricket) I feel that red-ball cricket requires a little more skill, you could say, and it requires more time. So I believe that if you become very good at red-ball cricket and develop your skills there, white-ball cricket will also become easier for you."
1787545741803,$undefined,1,IND,,,The players are out in the middle and we are ready for live action. Kumara will bowl the first over of Day 2. Here we go!
1787545827990,85.1,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, back of a length delivery around off, keeps straight as Jurel defends it from within the crease"
1787545832784,85.2,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, around the off-stump line again, good length delivery around off, knocked into the off-side"
1787545872995,85.3,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run"
1787545919735,85.4,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, 1 run, fraction short outside off, Dhruv Jurel plays it on the rise, knocking it towards the off-side"
1787545965784,85.5,1,IND,Saransh Jain,Lahiru Kumara,"Lahiru Kumara to Saransh Jain, no run, on the shorter side around off, Saransh Jain rides the bounce and knocks it into the off-side"
1787546014824,85.6,1,IND,Saransh Jain,Lahiru Kumara,"Lahiru Kumara to Saransh Jain, <b>wide</b>"
1787546050741,85.6,1,IND,Saransh Jain,Lahiru Kumara,"Lahiru Kumara to Saransh Jain, 2 runs, on a length around middle and leg, clipped through mid-wicket by Saransh Jain for a couple of runs to end the first over of the day"
1787546147302,86.1,1,IND,Dhruv Jurel,Asitha Fernando,"Asitha Fernando to Dhruv Jurel, 2 runs, to deep mid-wicket"
1787546187439,86.2,1,IND,Dhruv Jurel,Asitha Fernando,"Asitha Fernando to Dhruv Jurel, no run, full and quick on leg, skids along the deck"
1787546231672,86.3,1,IND,Dhruv Jurel,Asitha Fernando,"Asitha Fernando to Dhruv Jurel, no run, plays a lovely straight drive as the bowler goes full, hits the stumps at the other end"
1787546286032,86.4,1,IND,Dhruv Jurel,Asitha Fernando,"Asitha Fernando to Dhruv Jurel, 1 run, banged in short around middle and leg, Dhruv Jurel pulls it towards fine leg for a single"
1787546349969,$undefined,1,IND,Saransh Jain,Asitha Fernando,"Asitha Fernando to Saransh Jain, <b>THATS OUT!!</b> Caught!!"
1787546350891,86.5,1,IND,Saransh Jain,Asitha Fernando,"Asitha Fernando to Saransh Jain, <b>out</b> Caught by Kamil Mishara!! <b>Saransh Jain c Kamil Mishara b Asitha Fernando 6(8) [4s-1]</b>"
1787546400590,$undefined,1,IND,Rishabh Pant,Asitha Fernando,"<b>Rishabh Pant, left handed bat, comes to the crease</b>"
1787544447877,$undefined,1,IND,,,$28
1787546492132,86.6,1,IND,Rishabh Pant,Asitha Fernando,"Asitha Fernando to Rishabh Pant, no run, short ball down the leg-side, left alone"
1787546554805,87.1,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, on a length outside off, shaping away from the batsman, Dhruv Jurel shoulders arms"
1787546593130,87.2,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, pitched up by the bowler around off, driven firmly to mid-off by Dhruv Jurel"
1787546629511,87.3,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, 1 run, goes full outside off as Jurel brings out the square drive for a single"
1787546681480,87.4,1,IND,Rishabh Pant,Lahiru Kumara,"Lahiru Kumara to Rishabh Pant, 1 run, to deep square leg"
1787546718874,87.5,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, back of a length delivery outside off, nips back in a touch, Dhruv Jurel shoulders arms"
1787546757536,87.6,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, goes full outside off as Jurel drives it crisply to cover, stopped by the fielder as he dives it to his left"
1787546822045,88.1,1,IND,Rishabh Pant,Asitha Fernando,"Asitha Fernando to Rishabh Pant, no run, a slower delivery from round the wicket, clipped towards short mid-wicket by Rishabh Pant"
1787546865952,88.2,1,IND,Rishabh Pant,Asitha Fernando,"Asitha Fernando to Rishabh Pant, no run, banged hard into the pitch, a short ball as Rishabh Pant sways away"
1787546911506,88.3,1,IND,Rishabh Pant,Asitha Fernando,"Asitha Fernando to Rishabh Pant, 1 run, good length delivery outside off, punched through cover for a single"
1787546960854,88.4,1,IND,Dhruv Jurel,Asitha Fernando,"Asitha Fernando to Dhruv Jurel, no run, rock solid with his front foot defence, the bowler went full on this occasion"
1787547006131,88.5,1,IND,Dhruv Jurel,Asitha Fernando,"Asitha Fernando to Dhruv Jurel, no run"
1787547058076,88.6,1,IND,Dhruv Jurel,Asitha Fernando,"Asitha Fernando to Dhruv Jurel, 1 run, drifting on the pads, Dhruv Jurel clips it through backward square leg for a single"
1787547143427,89.1,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, no run, on a length around off, Dhruv Jurel defends it from within the crease"
1787547208495,89.2,1,IND,Dhruv Jurel,Lahiru Kumara,"Lahiru Kumara to Dhruv Jurel, 1 run, on the shorter side, Dhruv Jurel pulls it towards deep backward square leg"
1787547245048,89.3,1,IND,Rishabh Pant,Lahiru Kumara,"Lahiru Kumara to Rishabh Pant, no run, banged in short by Lahiru Kumara outside off, good carry as Rishabh Pant shoulders arms"
1787547289327,89.4,1,IND,Rishabh Pant,Lahiru Kumara,"Lahiru Kumara to Rishabh Pant, no run, short ball down the leg-side"
1787547334053,89.5,1,IND,Rishabh Pant,Lahiru Kumara,"Lahiru Kumara to Rishabh Pant, <b>SIX</b>, <b>that's gone on to the roof of Colombo!</b> A short ball down the leg-side"
1787547423620,89.6,1,IND,Rishabh Pant,Lahiru Kumara,"Lahiru Kumara to Rishabh Pant, 1 run, on the shorter side outside off"
1787548088537,92.4,1,IND,Dhruv Jurel,Keshara Nuwantha,"Keshara Nuwantha to Dhruv Jurel, no run, flicked towards the mid-wicket fielder"
1787548111295,92.5,1,IND,Dhruv Jurel,Keshara Nuwantha,"Keshara Nuwantha to Dhruv Jurel, 1 run, flatter through the air on leg, Dhruv Jurel nudges it through square leg"
1787548135756,92.6,1,IND,Rishabh Pant,Keshara Nuwantha,"Keshara Nuwantha to Rishabh Pant, no run, on a length around off, Rishabh Pant defends"
1787548207932,$undefined,1,IND,Dhruv Jurel,Asitha Fernando,<b>Asitha Fernando [18.0-5-51-4] is back into the attack</b>
1787548224065,93.1,1,IND,Dhruv Jurel,Asitha Fernando,"Asitha Fernando to Dhruv Jurel, 1 run, drifting on the pads, Dhruv Jurel clips it through backward square leg for a single"
1787548281029,93.2,1,IND,Rishabh Pant,Asitha Fernando,"Asitha Fernando to Rishabh Pant, no run, short ball around the leg-stump, Rishabh Pant ducks underneath"
