Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1789394599373,$undefined,$undefined,,,,"<b>Afghanistan</b> Squad: Rahmanullah Gurbaz(w), Ibrahim Zadran(c), Sediqullah Atal, Gulbadin Naib, Darwish Rasooli, Azmatullah Omarzai, Mohammad Nabi, Rashid Khan, Noor Ahmad, Mujeeb Ur Rahman, Fazalhaq Farooqi, Naveen-ul-Haq, Nangeyalia Kharoti, Abdullah Ahmadzai, Noor ul Rahman"
1789394654691,$undefined,$undefined,,,,"<b>India</b> Squad: Sanju Samson(w), Abhishek Sharma, Ishan Kishan, Shreyas Iyer(c), Tilak Varma, Nitish Kumar Reddy, Shivam Dube, Axar Patel, Arshdeep Singh, Jasprit Bumrah, Vaibhav Sooryavanshi, Washington Sundar, Yash Thakur, Ravi Bishnoi"
1789394655915,$undefined,$undefined,,,,<b>Squads:</b>
1789394655925,$undefined,$undefined,,,,$28
1789484626978,14.1,1,AFG,Darwish Rasooli,Arshdeep Singh,"Arshdeep Singh to Darwish Rasooli, <b>out</b> Caught by Tilak Varma!! Another one bites the dust. This looked like Darwish Rasooli had got it off the meat, but wasn't. Hits the toe end as he looks to go straight down the ground to a full delivery on off-stump. Was just short of a yorker, which made it hard for Rasooli to get under. Tilak runs to his right and grabs it just in front of the boundary at long-off. <b>Darwish Rasooli c Tilak Varma b Arshdeep Singh 26(15) [4s-1 6s-2]</b>"
1789484675767,$undefined,1,AFG,Rashid Khan,Arshdeep Singh,"<b>Rashid Khan, right handed bat, comes to the crease</b>"
1789484707584,14.2,1,AFG,Rashid Khan,Arshdeep Singh,"Arshdeep Singh to Rashid Khan, 1 run, Rashid Khan opens the bat face and dabs it down to short third man for a single"
1789484748911,14.3,1,AFG,Mohammad Nabi,Arshdeep Singh,"Arshdeep Singh to Mohammad Nabi, no run, length delivery on off-stump, Mohammad Nabi gets squared on as he looks to defend. The ball rolls towards cover"
1789484793727,14.4,1,AFG,Mohammad Nabi,Arshdeep Singh,"Arshdeep Singh to Mohammad Nabi, 2 runs, Shreyas Iyer has a shy at the striker's end and he misses, allowing the duo to sneak in for an extra run. This was tapped in front of the fielder for a quick single"
1789484843097,14.5,1,AFG,Mohammad Nabi,Arshdeep Singh,"Arshdeep Singh to Mohammad Nabi, 1 run, half-volley outside off, Mohammad Nabi drills it to the left of mid-off. Tilak dives to his left and saves runs"
1789484885038,14.6,1,AFG,Rashid Khan,Arshdeep Singh,"Arshdeep Singh to Rashid Khan, 1 run, Arshdeep switches to over the wicket and digs it in short at Rashid, who pulls it awkwardly to deep square leg. Goes on the bounce to the fielder"
1789484934991,$undefined,1,AFG,Rashid Khan,Ravi Bishnoi,<b>Ravi Bishnoi [3.0-0-21-1] is back into the attack</b>
1789484940228,15.1,1,AFG,Rashid Khan,Ravi Bishnoi,"Ravi Bishnoi to Rashid Khan, no run, googly from Ravi Bishnoi. Rashid gets forward and looks to drive, gets a thick inside edge onto the pads"
1789484970558,15.2,1,AFG,Rashid Khan,Ravi Bishnoi,"Ravi Bishnoi to Rashid Khan, 1 run, fuller outside off, Rashid leans onot the front foot and knocks it down to long-off"
1789485000802,15.3,1,AFG,Mohammad Nabi,Ravi Bishnoi,"Ravi Bishnoi to Mohammad Nabi, <b>FOUR</b>, Bishnoi sees the batter move away trying to make room and bowls it wide of off. Mohammad Nabi throws his bat at the wide delivery and gets a thick outside edge that runs down to third man fence"
1789485039892,15.4,1,AFG,Mohammad Nabi,Ravi Bishnoi,"Ravi Bishnoi to Mohammad Nabi, <b>SIX</b>, rank long hop from Bishnoi that sits up nicely to be hit. Nabi picks the wrong'un and pulls it way into deep mid-wicket stands. Afghanistan need more of these"
1789485081973,15.5,1,AFG,Mohammad Nabi,Ravi Bishnoi,"Ravi Bishnoi to Mohammad Nabi, no run, Nabi backsaway and taps it to backward point"
1789485108046,15.6,1,AFG,Mohammad Nabi,Ravi Bishnoi,"Ravi Bishnoi to Mohammad Nabi, no run, fuller outside off at 102ks, Nabi chops it of the inside edge down to short third man"
1789485194591,$undefined,1,AFG,,,<b>Jasprit Bumrah [2.0-1-9-0] is back into the attack</b>
1789485201255,16.1,1,AFG,Rashid Khan,Jasprit Bumrah,"Jasprit Bumrah to Rashid Khan, <b>wide</b>, slower short delivery well over the batter. Rashid sways away from the line and lets it go tot he keeper. Samson fails to stop it cleanly. Wide called for height"
1789485231496,16.1,1,AFG,Rashid Khan,Jasprit Bumrah,"Jasprit Bumrah to Rashid Khan, 1 run, fuller in length on off-stump. Rashid drives it wide of cover for a single"
1789485267106,16.2,1,AFG,Mohammad Nabi,Jasprit Bumrah,"Jasprit Bumrah to Mohammad Nabi, no run, just short of a yorker from Bumrah. Nabi digs it out to mid-off"
1789485304305,16.3,1,AFG,Mohammad Nabi,Jasprit Bumrah,"Jasprit Bumrah to Mohammad Nabi, 1 run, another slower short delivery from Bumrah, Nabi waits for the ball and mistimes the pull to deep square leg. Good over from Bumrah so far"
1789485345615,16.4,1,AFG,Rashid Khan,Jasprit Bumrah,"Jasprit Bumrah to Rashid Khan, 2 runs, to sweeper cover"
1789485386752,16.5,1,AFG,Rashid Khan,Jasprit Bumrah,"Jasprit Bumrah to Rashid Khan, <b>FOUR</b>, Rashid skips down the track and slashes it hard. Gets it over backward point and races away for four."
1789485425646,16.6,1,AFG,Rashid Khan,Jasprit Bumrah,"Jasprit Bumrah to Rashid Khan, 1 run, to third man"
1789485486653,$undefined,1,AFG,Rashid Khan,Arshdeep Singh,<b>Arshdeep Singh [3.0-0-19-2] is back into the attack</b>
1789485503328,17.1,1,AFG,Rashid Khan,Arshdeep Singh,"Arshdeep Singh to Rashid Khan, 2 runs, to deep mid-wicket"
1789485539797,17.2,1,AFG,Rashid Khan,Arshdeep Singh,"Arshdeep Singh to Rashid Khan, no run"
1789485593453,17.3,1,AFG,Rashid Khan,Arshdeep Singh,"Arshdeep Singh to Rashid Khan, <b>FOUR</b>, to third man"
1789485647367,17.4,1,AFG,Rashid Khan,Arshdeep Singh,"Arshdeep Singh to Rashid Khan, no run"
