Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1788614622595,$undefined,$undefined,,,,"<b>Zimbabwe</b> Squad: Brian Bennett, Ben Curran, Innocent Kaia, Sikandar Raza(c), Ryan Burl, Wesley Madhavere, Tadiwanashe Marumani(w), Brad Evans, Wellington Masakadza, Blessing Muzarabani, Kundai Matigimu, Dion Myers, Tafadzwa Tsiga, Newman Nyamhuri, Graeme Cremer"
1788614681561,$undefined,$undefined,,,,"<b>South Africa</b> Squad: Lhuan-dre Pretorius, Connor Esterhuizen(w), Dewald Brevis, Rubin Hermann, Eathan Bosch, Jordan Hermann, Bjorn Fortuin(c), Andile Simelane, Nqobani Mokoena, Kwena Maphaka, Nqabayomzi Peter, Duan Jansen, Tony de Zorzi, Prenelan Subrayen"
1788614686248,$undefined,$undefined,,,,<b>Squads:</b>
1788692400989,$undefined,$undefined,,,,"<b>13:00 Local Time, 11:00 GMT, 16:30 IST:</b> Three teams, six games, and four wins for the team defending compared to just two while chasing. Interestingly, the two teams that started this tri-series with defeats are now set to lock horns in the final today. Hello and a warm welcome to the all-important clash between two African nations, South Africa and Zimbabwe."
1788692406770,$undefined,$undefined,,,,"Zimbabwe were comprehensively beaten by South Africa in both league encounters, but a final is a different proposition and none of that will count for much today. If Zimbabwe are to turn the tables, they will need to make the most of their opportunities and, crucially, find a way to contain the young batting duo of Lhuan-dre Pretorius and Dewald Brevis, the leading run-scorers of this series, both striking at over 170. South Africa, meanwhile, will want to tighten things up with the ball after conceding 85 runs in the last seven overs against hosts Namibia in their final league game. Defending 229, they picked up just three wickets and had to settle for an 11-run win. With four of the six games in this series won by the team that bowled first, it will be interesting to see whether the captains stick with the chasing trend in the final. We will find out very shortly. Stick around for the toss and team updates…"
1788694470643,$undefined,$undefined,,,,"<b>Bjorn Fortuin | South African skipper:</b> We would like to bat first. [On carrying the momentum from the previous win] A win's a win, and we'll never take for granted the momentum that's gained from that. It's nice to do some good things in those wins, and hopefully we can carry on that good work. [On the changes to the team] We've got a couple of forced changes. Lhuan-dre Pretorius and Simelane miss out due to niggles, so Duan and Subrayen come in. Nqabayomzi Peter misses out and Tony de Zorzi is back in."
1788694529002,$undefined,$undefined,,,,<b>South Africa have won the toss and have opted to bat</b>
1788694681939,$undefined,$undefined,,,,"<b>Sikandar Raza | Zimbabwean skipper:</b> [On what he wanted to do] We wanted to bowl first anyway. I was of a different opinion, to be honest. I think there's a bit of moisture and I feel like with a new ball there could be a bit of inconsistent bounce and pace here. If our seamers can get a few early inroads for us, then I think we can put their batting under pressure. [On the positivity heading into the final] A final is a beautiful place to get to. It's lovely to be here and it's an honour to be here. Having said that, both teams have an equal chance to win. Any team that gets their process right, executes and remains calm under pressure situations will deserve to win. Both teams have an equal chance, and that tells us that we also have a 50 percent chance of winning. If we do our things well, then that puts us in a great position to win the final today. [On the team change] We've got one change. Newman comes back in and Wellington misses out."
1788694932243,$undefined,$undefined,,,,"<b>Zimbabwe</b> (Playing XI): Brian Bennett, Ben Curran, Innocent Kaia, Sikandar Raza(c), Ryan Burl, Wesley Madhavere, Tadiwanashe Marumani(w), Brad Evans, Newman Nyamhuri, Kundai Matigimu, Blessing Muzarabani"
1788694997056,$undefined,$undefined,,,,"<b>South Africa</b> (Playing XI): Connor Esterhuizen(w), Jordan Hermann, Dewald Brevis, Tony de Zorzi, Rubin Hermann, Eathan Bosch, Duan Jansen, Bjorn Fortuin(c), Prenelan Subrayen, Nqobani Mokoena, Kwena Maphaka"
1788695010172,$undefined,$undefined,,,,<b>Teams:</b>
1788693438707,$undefined,$undefined,,,,<b>South Africa have won the toss and have opted to bat</b>
1788695152136,$undefined,$undefined,,,,$28
1788695331012,$undefined,$undefined,,,,"<b>Brian Bennett:</b> [On the conditions] I think the conditions have been really good. Towards the death, it's always smaller boundaries, so we can look to get to 10s and 12s in the end there. But all in all, I think the conditions have been really good. [On whether South Africa's record against Zimbabwe creates a mental block] No, I don't think so. I don't think it's a mental block at all. South Africa are a very good team, and so are Namibia and so are we. T20 cricket nowadays is just whoever plays the best cricket on the day is going to end up winning the game. Funny things can happen in T20. Today's going to be a good day for us to go play the final against South Africa, and hopefully we can come out with a win. [On converting his starts into bigger scores] Definitely. I think that's one of the things I've been talking about this week with the coaches."
1788695393434,$undefined,$undefined,,,,"<b>Connor Esterhuizen:</b> [On carrying confidence from the previous batting performance] Obviously, you take a little bit of confidence out of a game like that after a batting performance like that. But at the end of the day, it is a new game, a new day. We have to start again at the top of the order and try to get a good start for the rest of the guys. [On his approach to the final] Of course, we want to be positive and show some intent and get the guys off to a good start. But obviously, we assess conditions when we're out there, assess what the bowlers are doing and take it from there. [On the batting-friendly conditions] It has favoured the batters. Maybe the first game was a little bit tough on this wicket, but the pitch for batting in the last game was really good. It's commendable for our bowlers that they managed to restrict the opposition. But as you said, it's a new day. The pitch could play differently. We don't know, so we'll have to assess when we're out there."
1788695625220,$undefined,$undefined,,,,Both teams stride out for the Anthems
1788696010262,$undefined,$undefined,,,,Right! The pre-game formalities are done and it's time for some ball-rolling action now. The ever-reliable Muzarabani to kickstart proceedings with the ball
1788696098915,$undefined,1,RSA,,,<b>Connor Esterhuizen and Jordan Hermann are at the crease. Connor Esterhuizen is on strike. Wesley Madhavere will open the attack</b>
1788696116478,0.1,1,RSA,Connor Esterhuizen,Wesley Madhavere,"Wesley Madhavere to Connor Esterhuizen, <b>FOUR</b>, to sweeper cover"
1788696137373,0.2,1,RSA,Connor Esterhuizen,Wesley Madhavere,"Wesley Madhavere to Connor Esterhuizen, 1 run, allows the ball to turn and pushes it down to long-on"
1788696170703,0.3,1,RSA,Jordan Hermann,Wesley Madhavere,"Wesley Madhavere to Jordan Hermann, no run, tossed up on off, Hermann prods across and blocks into the off-side"
1788696189087,0.4,1,RSA,Jordan Hermann,Wesley Madhavere,"Wesley Madhavere to Jordan Hermann, <b>FOUR</b>, to deep mid-wicket"
1788696223766,0.5,1,RSA,Jordan Hermann,Wesley Madhavere,"Wesley Madhavere to Jordan Hermann, <b>FOUR</b>, to backward square leg"
