Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1790261993597,47.2,1,SL,Janith Liyanage,Jamie Overton,"Jamie Overton to Janith Liyanage, 1 run, angled in, short of length delivery, pulled down to long leg for a single"
1790262028325,47.3,1,SL,Dunith Wellalage,Jamie Overton,"Jamie Overton to Dunith Wellalage, <b>FOUR</b>, Tongue makes a desperate dive at deep third but the ball evades him after landing in front of him. Dunith Wellalage walked across, sat down and looked to scoop it. But somehow he got it down to third man instead of fine leg"
1790262076778,47.4,1,SL,Dunith Wellalage,Jamie Overton,"Jamie Overton to Dunith Wellalage, 1 run, short ball, angled across, top-edge on the pull and lands short of the man at mid-off"
1790262126402,47.5,1,SL,Janith Liyanage,Jamie Overton,"Jamie Overton to Janith Liyanage, leg byes, 1 run, looks to whip the ball off the pads but mistimes it down to long leg for a single"
1790262156771,47.6,1,SL,Dunith Wellalage,Jamie Overton,"Jamie Overton to Dunith Wellalage, 1 run, angled in at the hips, Dunith Wellalage looks to swing it across the line and mistimes it down to deep backward for a single"
1790262213272,48.1,1,SL,Dunith Wellalage,Jofra Archer,"Jofra Archer to Dunith Wellalage, 1 run, fuller length delivery, angled across, slapped down to mid-off for a single"
1790262263926,$undefined,1,SL,Janith Liyanage,Jofra Archer,"Jofra Archer to Janith Liyanage, <b>THATS OUT!!</b> Caught!!"
1790262265250,48.2,1,SL,Janith Liyanage,Jofra Archer,"Jofra Archer to Janith Liyanage, <b>out</b> Caught by Root!! Taken at cover. That was a short ball, angled in, the batter backed away to slap it. But found the man at cover. He wanted to go over cover. But failed to wood it well. Jofra Archer takes his first wicket. <b>Janith Liyanage c Root b Jofra Archer 32(26) [4s-4]</b>"
1790262304222,$undefined,1,SL,Sachindu Colombage,Jofra Archer,"<b>Sachindu Colombage, right handed bat, comes to the crease</b>"
1790262346297,48.3,1,SL,Sachindu Colombage,Jofra Archer,"Jofra Archer to Sachindu Colombage, 1 run, fuller length delivery, angled in, nudges the ball down with soft hands for a single"
1790262389804,48.4,1,SL,Dunith Wellalage,Jofra Archer,"Jofra Archer to Dunith Wellalage, no run, slips it wide outside off seeing the batter walk away. The ball slipped into the keeper's gloves as the batter missed it"
1790262428069,48.5,1,SL,Dunith Wellalage,Jofra Archer,"Jofra Archer to Dunith Wellalage, 1 run, fuller length delivery, dragged down to long-on for a single"
1790262467156,48.6,1,SL,Sachindu Colombage,Jofra Archer,"Jofra Archer to Sachindu Colombage, 1 run, angled in, short ball, pulled down to deep mid for a single"
1790262549427,49.1,1,SL,Sachindu Colombage,Jamie Overton,"Jamie Overton to Sachindu Colombage, 1 run, <b>Buttler drops one!</b> That was banged in short, Sachindu Colombage backed away to pull it and edged it. The keeper was going the wrong way. He raised his right hand to take it but the ball popped out"
1790262605884,49.2,1,SL,Dunith Wellalage,Jamie Overton,"Jamie Overton to Dunith Wellalage, 2 runs, lofted over mid-off, just over. They get a brace. Was a length delivery and Dunith Wellalage launched it over mid-off"
1790262632229,49.3,1,SL,Dunith Wellalage,Jamie Overton,"Jamie Overton to Dunith Wellalage, 1 run, fuller length delivery, angled in, Dunith Wellalage walks across to get it down for a single"
1790262662519,49.4,1,SL,Sachindu Colombage,Jamie Overton,"Jamie Overton to Sachindu Colombage, byes, 1 run, short, slower, Sachindu Colombage looks to pull and misses. They steal a bye. Buttler failed to score a direct hit and the run was nabbed"
1790262699737,49.5,1,SL,Dunith Wellalage,Jamie Overton,"Jamie Overton to Dunith Wellalage, no run, this time scores a direct hit does the keeper but the batter had dived back after he was sent back. That was a length delivery, angled across, Dunith Wellalage looked to flog it and misses"
1790262749219,49.6,1,SL,Dunith Wellalage,Jamie Overton,"Jamie Overton to Dunith Wellalage, 1 run, fuller length delivery, dragged down to long leg for a single. <b>Lanka end with 321</b>. England have clawed back some lost space"
