Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1786694100629,$undefined,2,BAN,Mehidy Hasan Miraz,Lyon,<b>Nathan Lyon [24.0-1-91-1] is back into the attack</b>
1786694102878,108.1,2,BAN,Mehidy Hasan Miraz,Nathan Lyon,"Lyon to Mehidy Hasan Miraz, no run, floated full delivery around off, Mehidy leans ahead and blocks it towards covers"
1786694115851,108.2,2,BAN,Mehidy Hasan Miraz,Nathan Lyon,"Lyon to Mehidy Hasan Miraz, no run, tossed up full delivery around off, flicked towards mid-on"
1786694136593,108.3,2,BAN,Mehidy Hasan Miraz,Nathan Lyon,"Lyon to Mehidy Hasan Miraz, 1 run, full delivery outside off, Mehidy leans towards it and strokes it down to long-on"
1786694158159,108.4,2,BAN,Hasan Mahmud,Nathan Lyon,"Lyon to Hasan Mahmud, no run, the slider on a length on off, Hasan pushes it off the outer half towards backward point"
1786694179661,108.5,2,BAN,Hasan Mahmud,Nathan Lyon,"Lyon to Hasan Mahmud, no run, full delivery drifting in on off, Hasan lunges in defence"
1786694199649,108.6,2,BAN,Hasan Mahmud,Nathan Lyon,"Lyon to Hasan Mahmud, no run, floated full delivery outside off, Hasan leans ahead and defends it down the track"
1786694232630,$undefined,2,BAN,,,This might be the last over of the day...
1786694262215,109.1,2,BAN,Mehidy Hasan Miraz,Marnus Labuschagne,"Marnus Labuschagne to Mehidy Hasan Miraz, no run, short of length outside off, Mehidy camps back and taps it towards point"
1786694329097,109.2,2,BAN,Mehidy Hasan Miraz,Marnus Labuschagne,"Marnus Labuschagne to Mehidy Hasan Miraz, no run, shortish delivery on leg-stump, Mehidy moves inside the line and pulls it to fine leg. Mehidy doesn't take the single"
1786694341376,$undefined,2,BAN,,,Marnus Labuschagne switches to round the wicket
1786694342862,109.3,2,BAN,Mehidy Hasan Miraz,Marnus Labuschagne,"Marnus Labuschagne to Mehidy Hasan Miraz, no run, a bouncer down leg, Mehidy ducks under it"
1786694387385,109.4,2,BAN,Mehidy Hasan Miraz,Marnus Labuschagne,"Marnus Labuschagne to Mehidy Hasan Miraz, no run, fullish around leg-stump, Mehidy blocks it towards short leg"
1786694427966,109.5,2,BAN,Mehidy Hasan Miraz,Marnus Labuschagne,"Marnus Labuschagne to Mehidy Hasan Miraz, no run, pitched up on off, Mehidy covers the line and defends it down the track"
1786694462214,109.6,2,BAN,Mehidy Hasan Miraz,Marnus Labuschagne,"Marnus Labuschagne to Mehidy Hasan Miraz, no run, did that carry? Labuschagne is not pleased. A short of length delivery outside off, Mehidy cuts it uppishly. Green at gully got low and got his hands to it but it popped out. Well, <b>it did carry</b> and Mehidy gets luck right at the end. It was a sharp chance that didn't stick. <b>That's Stumps on Day 2</b>"
1786694592967,$undefined,2,BAN,,,"<b>17:32 Local Time, 08:02 GMT, 13:32 IST:</b> Another great day for Bangladesh as they are now in a commanding position in this game. They lead by a substantial 153 runs now and the ball is in their court. Both Tanzid and Mominul batted with calmness and assurance and their 102-run partnership laid a strong foundation for their side. Mominul fell one short of a fifty but Tanzid kept going strong, stitched a 93-run partnership with Shanto and ensured that he converted his fifty into a maiden Test century. It was a superb exhibition of caution mixed with aggression from the young man in only his second Test. The opener fell in a bid to up the ante but by then, the visitors were already into the lead. Shanto then found an able ally in Mushfiqur and they stitched another 50-plus stand to put their side well ahead."
