Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1787834663725,$undefined,$undefined,,,,"<b>South Africa</b> Squad: Tony de Zorzi, Lhuan-dre Pretorius(w), Rubin Hermann, Jordan Hermann, Dewald Brevis, Jason Smith, Prenelan Subrayen, Bjorn Fortuin(c), Duan Jansen, Lutho Sipamla, Kwena Maphaka, Nqabayomzi Peter, Eathan Bosch, Connor Esterhuizen, Nqobani Mokoena"
1787834747319,$undefined,$undefined,,,,"<b>Namibia</b> Squad: Malan Kruger, Junior Taanyanda, Gerhard Erasmus(c), Jan Frylinck, Louren Steenkamp, Alexander Volschenk, Zane Green(w), JJ Smit, Michael van Lingen, Bernard Scholtz, Ruben Trumpelmann, Jack Brassell, Max Heingo, Waldo Smith, Jan Balt, Jan Nicol Loftie-Eaton"
1787834749814,$undefined,$undefined,,,,<b>Squads:</b>
1787921158815,10.3,1,NAM,Gerhard Erasmus,Dewald Brevis,"Dewald Brevis to Gerhard Erasmus, 2 runs, miscues the loft down the ground and gets it to the right of long-off for a couple of runs"
1787921200405,10.4,1,NAM,Gerhard Erasmus,Dewald Brevis,"Dewald Brevis to Gerhard Erasmus, 1 run, stabbed away wide of backward point"
1787921208153,10.5,1,NAM,Jan Frylinck,Dewald Brevis,"Dewald Brevis to Jan Frylinck, 2 runs, driven away to the right of deep extra cover"
1787921233813,10.6,1,NAM,Jan Frylinck,Dewald Brevis,"Dewald Brevis to Jan Frylinck, no run, looks to flick and misses"
1787921284791,11.1,1,NAM,Gerhard Erasmus,Bjorn Fortuin,"Bjorn Fortuin to Gerhard Erasmus, leg byes, 1 run, slower on leg stump, Erasmus misses the flick and deflects it off the thigh pad to mid-wicket"
1787921312556,11.2,1,NAM,Jan Frylinck,Bjorn Fortuin,"Bjorn Fortuin to Jan Frylinck, 1 run, tossed up just outside off, Frylinck flicks it to the left of the diving mid-wicket fielder"
1787921337415,11.3,1,NAM,Gerhard Erasmus,Bjorn Fortuin,"Bjorn Fortuin to Gerhard Erasmus, <b>FOUR</b>, full and drifting down the leg-side, Erasmus kneels down and helps it away to the fine leg fence with a well-timed sweep"
1787921383551,11.4,1,NAM,Gerhard Erasmus,Bjorn Fortuin,"Bjorn Fortuin to Gerhard Erasmus, no run, advanes and flicks the full delivery to the right of the bowler"
1787921398223,11.5,1,NAM,Gerhard Erasmus,Bjorn Fortuin,"Bjorn Fortuin to Gerhard Erasmus, 1 run, quicker on off stump, Erasmus forces the drive to the left of cover for a quick single"
1787921446397,11.6,1,NAM,Jan Frylinck,Bjorn Fortuin,"Bjorn Fortuin to Jan Frylinck, 2 runs, short and just outside off, Frylinck brings up the <b>100 for Namibia</b> with a flick through mid-wicket"
1787921502330,12.1,1,NAM,Gerhard Erasmus,Dewald Brevis,"Dewald Brevis to Gerhard Erasmus, 1 run, slower on the stumps, Erasmus drags the heave to the left of long-on"
1787921532543,12.2,1,NAM,Jan Frylinck,Dewald Brevis,"Dewald Brevis to Jan Frylinck, 1 run, short outside off, Frylinck pulls to the left of long-on"
1787921567996,12.3,1,NAM,Gerhard Erasmus,Dewald Brevis,"Dewald Brevis to Gerhard Erasmus, 1 run, full outside off, Erasmus makes room and drills it down to long-off"
1787921582483,12.4,1,NAM,Jan Frylinck,Dewald Brevis,"Dewald Brevis to Jan Frylinck, <b>SIX</b>, launched! <b>Fifty for Jan Frylinck!</b> He gets under the full ball and thumps it back over the bowler's head for a mighty maximum"
1787921611838,12.5,1,NAM,Jan Frylinck,Dewald Brevis,"Dewald Brevis to Jan Frylinck, <b>SIX</b>, and again! Full outside off, Frylinck clubs it down the ground and beats the leaping long-off fielder to his right"
1787921688309,$undefined,1,NAM,Jan Frylinck,Dewald Brevis,"Dewald Brevis to Jan Frylinck, <b>THATS OUT!!</b> Caught!!"
1787921689567,12.6,1,NAM,Jan Frylinck,Dewald Brevis,"Dewald Brevis to Jan Frylinck, <b>out</b> Caught by Nqobani Mokoena!! Dewald Brevis gets his revenge. Serves a full ball on the stumps and Frylinck's attempted slogsweep picks out deep mid-wicket. Went off the thick inside half and the fielder did well to get there in time. <b>Jan Frylinck c Nqobani Mokoena b Dewald Brevis 60(38) [4s-6 6s-2]</b>"
1787921788048,$undefined,1,NAM,Gerhard Erasmus,Bjorn Fortuin,"<b>Jan Nicol Loftie-Eaton, left handed bat, comes to the crease</b>"
1787921792595,$undefined,1,NAM,Gerhard Erasmus,Duan Jansen,<b>Duan Jansen [2.0-0-18-0] is back into the attack</b>
1787921805321,13.1,1,NAM,Gerhard Erasmus,Duan Jansen,"Duan Jansen to Gerhard Erasmus, 1 run, to deep backward point"
1787921868813,13.2,1,NAM,Jan Nicol Loftie-Eaton,Duan Jansen,"Duan Jansen to Loftie-Eaton, no run, full and tailing in, Loftie-Eaton drives it to mid on, right on the money"
1787921904007,13.3,1,NAM,Jan Nicol Loftie-Eaton,Duan Jansen,"Duan Jansen to Loftie-Eaton, 2 runs, to deep extra cover"
1787921941767,13.4,1,NAM,Jan Nicol Loftie-Eaton,Duan Jansen,"Duan Jansen to Loftie-Eaton, 1 run, to mid-on"
1787921975607,13.5,1,NAM,Gerhard Erasmus,Duan Jansen,"Duan Jansen to Gerhard Erasmus, 1 run, full and on off, Erasmus squeezes it to sweeper cover"
