Ball ID,Over/Ball,Innings,Team,Batsman,Bowler,Commentary
1784895898495,$undefined,$undefined,,,,"<b>Zimbabwe</b> Squad: Brian Bennett, Tadiwanashe Marumani(w), Ben Curran, Dion Myers, Sikandar Raza(c), Ryan Burl, Wessly Madhevere, Brad Evans, Newman Nyamhuri, Richard Ngarava, Blessing Muzarabani, Tafadzwa Tsiga, Innocent Kaia, Tanaka Chivanga, Wellington Masakadza"
1784895943766,$undefined,$undefined,,,,"<b>India</b> Squad: Abhishek Sharma, Vaibhav Sooryavanshi, Ishan Kishan(w), Shreyas Iyer(c), Tilak Varma, Rinku Singh, Shivam Dube, Ravi Bishnoi, Prince Yadav, Ashok Sharma, Mayank Yadav, Suryansh Shedge, Harsh Dubey, Prabhsimran Singh, Yash Thakur"
1784895945122,$undefined,$undefined,,,,<b>Squads:</b>
1784895945133,$undefined,$undefined,,,,$28
1784973524068,$undefined,$undefined,,,,"<b>12:00 Local Time, 10:00 GMT, 15:30 IST:</b> The Shreyas Iyer era is finally up and running. After whitewashes in Ireland and England, going winless across seven games (with one abandoned), India's T20I side recorded a thumping win in the opening game of the three-match series against Zimbabwe. It was a near-perfect outing - Iyer won a good toss, his inexperienced bowling attack restricted Zimbabwe to a below-par total and the batters made light work of the chase. It is now time to build on that win and seal the series with another victory. Zimbabwe have been very good at home recently and will be eager to fight their way back. On that note, hello and welcome.."
1784973610172,$undefined,$undefined,,,,"India handed a debut to right-arm quick Ashok Sharma, and he made an encouraging start despite going wicketless. He'll be hoping to make an even bigger impact today and claim his maiden international wicket. The standout performer with the ball, though, was Mayank Yadav. Playing just his fourth T20I, he was outstanding with the new ball, picking up two wickets while conceding only 18 runs in his four overs to earn the PoTM award. The biggest takeaway, however, was Vaibhav Sooryavanshi coming good. After a quiet series in England, the teenager smashed his maiden T20I fifty off just 18 balls. Ravi Bishnoi was another positive, bouncing back from a disappointing outing against England with an impressive spell. Overall, India ticked almost every box in the opening game and will be looking to produce another complete performance."
1784973968694,$undefined,$undefined,,,,"Zimbabwe were never really in the contest after losing three wickets inside the powerplay. Brian Bennett has been their standout batter across formats, and losing him off the very first ball of the match immediately put them on the back foot. They'll want a much better start from the top order because the middle order, featuring the experienced Sikandar Raza, Ryan Burl and Wessly Madhevere, has the quality to build a competitive total. Their bowling attack, led by Richard Ngarava and Blessing Muzarabani, is certainly capable of defending scores, but the batters have to give them something to work with first. The toss played a significant role in the opening game; let's see if it has a similar impact today. Toss and teams coming up.."
1784974779588,$undefined,$undefined,,,,<b>Zimbabwe have won the toss and have opted to field</b>
1784975590481,$undefined,$undefined,,,,"<b>Sikandar Raza:</b> We want to bowl first. First reason being the winter wicket as we know, it's slightly spicier at the start, so hopefully we can make early inroads and then see what comes in the batting order later on. [On the surface looking different from the first game] The surface is certainly a lot better today than it was in the first game, so it may not be as spicy, but we know that in Harare, especially during winter, there will be a bit of spice at the start and hopefully our seamers can make inroads. If they do, it'll go a long way towards helping us stop them. [On team changes] No. We're going to back the same boys. We've got the same side."
1784975628210,$undefined,$undefined,,,,"<b>Shreyas Iyer:</b> We were going to bat first. [On how the pitch looks] I feel it looks a bit different. It's not as tacky as it was in the first game. I feel the bounce will be consistent, and that's what I'm hoping. But let's see how it plays. [On the message to the young side after a comprehensive win] We just passed on the message to all the boys that it's important to stay in the present and not be complacent because when you have such a comprehensive win, you tend to take things easily. I think it's essential for us to enjoy the moment as well as make sure that we play to the best of our abilities. There is a lot of potential in the dressing room and if they turn up today with a solid approach, then definitely the results will take care of themselves. [Team news] We have one change - Yash Thakur comes in for Ashok Sharma."
